category,type,lon,lat,name,suburb
Fitness Routines,Fitness / Gymnasium Workouts,144.93192734,-36.42639904,One Fitness,CARAG CARAG
Fitness Routines,Fitness / Gymnasium Workouts,143.66455599,-37.16892396,ASM Fitness,CARALULUP
Fitness Routines,Fitness / Gymnasium Workouts,142.56990851,-37.87739724,Body Renovations,CARAMUT
Fitness Routines,Fitness / Gymnasium Workouts,143.35359703,-36.76530501,Contours Benidgo,CARAPOOEE
Fitness Routines,Fitness / Gymnasium Workouts,143.27193796,-36.73471496,Feelgood Fitness Golden Square,CARAPOOEE WEST
Fitness Routines,Fitness / Gymnasium Workouts,141.47255904,-37.555723,Feelgood Fitness Strathdale,CARAPOOK
Fitness Routines,Fitness / Gymnasium Workouts,146.480945,-36.57672104,Fernwood Bendigo,CARBOOR
Fitness Routines,Fitness / Gymnasium Workouts,143.7381992,-37.56147218,Kangaroo Flat Leisure Centre,CARDIGAN
Fitness Routines,Fitness / Gymnasium Workouts,143.704768,-37.51935299,Lifestyle Fitness,CARDIGAN VILLAGE
Fitness Routines,Fitness / Gymnasium Workouts,145.40019241,-38.11144902,Peter Krenz Leisure Centre YMCA,CARDINIA
Fitness Routines,Fitness / Gymnasium Workouts,142.15449504,-34.27269696,Rockhard Training / Kettlebells,CARDROSS
Fitness Routines,Fitness / Gymnasium Workouts,143.92131944,-37.7819432,Body World Camberwell,CARGERIE
Fitness Routines,Fitness / Gymnasium Workouts,141.08093203,-35.05188495,Complete Mind & Body,CARINA
Fitness Routines,Fitness / Gymnasium Workouts,146.39225743,-37.93055691,Curves  Ashburton,CARINGAL
Fitness Routines,Fitness / Gymnasium Workouts,143.78349097,-37.04344596,Curves Camberwell,CARISBROOK
Fitness Routines,Fitness / Gymnasium Workouts,143.32971297,-38.64408299,Grace Park Tennis,CARLISLE RIVER
Fitness Routines,Fitness / Gymnasium Workouts,144.541358,-37.31048804,Inspire Fitness for Wellbeing,CARLSRUHE
Fitness Routines,Fitness / Gymnasium Workouts,144.97318807,-37.80792296,Tai-Chi with Tibor,CARLTON
Fitness Routines,Fitness / Gymnasium Workouts,144.96020595,-37.77804267,Anytime Fitness Keilor Downs,CARLTON NORTH
Fitness Routines,Fitness / Gymnasium Workouts,146.52227482,-35.97005015,Brimbank Sports Centre,CARLYLE
Fitness Routines,Fitness / Gymnasium Workouts,145.06035102,-37.90649896,Calder Rise Neighbourhood Park,CARNEGIE
Fitness Routines,Fitness / Gymnasium Workouts,143.65135201,-37.57693003,Callaway Boulevard,CARNGHAM
Fitness Routines,Fitness / Gymnasium Workouts,144.74837796,-37.75944297,Callaway Bvd/Mekong Cl Reserve,CAROLINE SPRINGS
Fitness Routines,Fitness / Gymnasium Workouts,143.25664403,-38.35608902,Capesthorne Drive Reserve,CARPENDEIT
Fitness Routines,Fitness / Gymnasium Workouts,146.72342401,-38.36204296,Duke Street Reserve,CARRAJUNG
Fitness Routines,Fitness / Gymnasium Workouts,146.66609197,-38.41113304,Fenix Fitness Taylors Lakes,CARRAJUNG LOWER
Fitness Routines,Fitness / Gymnasium Workouts,146.832713,-38.36928197,Fernwood Gym,CARRAJUNG SOUTH
Fitness Routines,Fitness / Gymnasium Workouts,143.16508554,-37.75585467,Fernwood Women's Health Clubs,CARRANBALLAC
Fitness Routines,Fitness / Gymnasium Workouts,142.72605036,-36.28870096,Focus Health & Fitness,CARRON
Fitness Routines,Fitness / Gymnasium Workouts,145.1204769,-38.07325162,Goodlife Health Clubs Taylors Lakes,CARRUM
Fitness Routines,Fitness / Gymnasium Workouts,145.14887287,-38.08345146,Health Club 101,CARRUM DOWNS
Fitness Routines,Fitness / Gymnasium Workouts,142.271085,-34.56184098,Holmewood Avenue Park,CARWARP
Fitness Routines,Fitness / Gymnasium Workouts,141.43878299,-38.28100201,Isabella Williams Reserve,CASHMORE
Fitness Routines,Fitness / Gymnasium Workouts,147.61475605,-37.18223403,Kaye's Unique Toning,CASSILIS
Fitness Routines,Fitness / Gymnasium Workouts,145.421869,-37.50124699,Kieser Training,CASTELLA
Fitness Routines,Fitness / Gymnasium Workouts,141.15812799,-37.59256195,Kore Wellness & Swim School,CASTERTON
Fitness Routines,Fitness / Gymnasium Workouts,146.86640304,-36.16851701,Platinum Health & Pilates,CASTLE CREEK
Fitness Routines,Fitness / Gymnasium Workouts,143.62255457,-35.41098237,Run With Me Fitness Club Sunshine West,CASTLE DONNINGTON
Fitness Routines,Fitness / Gymnasium Workouts,144.19228804,-37.06179696,Samurai Karate Sunshine,CASTLEMAINE
Fitness Routines,Fitness / Gymnasium Workouts,145.60014488,-38.18759945,St Albans Campus Fitness Centre,CATANI
Fitness Routines,Fitness / Gymnasium Workouts,142.91364198,-37.32486797,St Albans Leisure Centre,CATHCART
Fitness Routines,Fitness / Gymnasium Workouts,145.56928604,-37.13741599,Sunshine Swim & Leisure Centre,CATHKIN
Fitness Routines,Fitness / Gymnasium Workouts,143.58000803,-36.04533301,The Lakes Health & Fitness Centre,CATUMNAL
Fitness Routines,Fitness / Gymnasium Workouts,145.01631003,-37.87915702,World Gym Sunshine,CAULFIELD
Fitness Routines,Fitness / Gymnasium Workouts,145.04015202,-37.87510781,Xplode 24 Hr Gym,CAULFIELD EAST
Fitness Routines,Fitness / Gymnasium Workouts,145.03460303,-37.88139297,Birchip Indoor Sports Stadium,CAULFIELD NORTH
Fitness Routines,Fitness / Gymnasium Workouts,145.01294897,-37.89668501,Wycheproof Indoor Sports Stadium,CAULFIELD SOUTH
Fitness Routines,Fitness / Gymnasium Workouts,145.54314196,-37.09746503,Echuca War Memorial Aquatic Centre,CAVEAT
Fitness Routines,Fitness / Gymnasium Workouts,142.13164202,-37.56947798,Y Central Health & Fitness Studio,CAVENDISH
Fitness Routines,Fitness / Gymnasium Workouts,144.29359744,-38.15625063,Anytime Fitness Pakenham,CERES
Fitness Routines,Fitness / Gymnasium Workouts,145.09182331,-37.87419785,Jetts Pakenham,CHADSTONE
Fitness Routines,Fitness / Gymnasium Workouts,149.15539392,-37.31934869,4 U Body Fitness,CHANDLERS CREEK
Fitness Routines,Fitness / Gymnasium Workouts,143.90317899,-37.48597397,Aspire Health,CHAPEL FLAT
Fitness Routines,Fitness / Gymnasium Workouts,143.25988272,-38.62761333,Beach House Health & Fitness Narre Warren,CHAPPLE VALE
Fitness Routines,Fitness / Gymnasium Workouts,141.483233,-36.913701,Casey Aquatic & Recreation Centre,CHARAM
Fitness Routines,Fitness / Gymnasium Workouts,144.39895496,-38.21951002,Contours Endeavour Hills,CHARLEMONT
Fitness Routines,Fitness / Gymnasium Workouts,147.12646422,-36.25627706,Cranbourne Indoor Pool,CHARLEROI
