FacilityName,Latitude,Longitude,Classification,Category
Mount Beauty Pool & Stadium,-36.740988,147.168502,Aerobics,Group Fitness
Anytime Fitness Ballarat,-37.573219,143.835744,Aerobics,Group Fitness
Anytime Fitness Mount Clear,-37.602661,143.867711,Aerobics,Group Fitness
Ballarat Squash and Raquetball,-37.541994,143.839993,Aerobics,Group Fitness
Contours Wendouree,-37.54018,143.826133,Aerobics,Group Fitness
CrossFit Ballarat,-37.63028,143.836995,Aerobics,Group Fitness
Curves Sebastopol,-37.587151,143.840496,Aerobics,Group Fitness
Curves Wendouree,-37.540176,143.826312,Aerobics,Group Fitness
Fernwood Ballarat,-37.559542,143.858644,Aerobics,Group Fitness
O'Briens Kickboxing & Boxing Gym,-37.542919,143.857592,Aerobics,Group Fitness
On Track Personal Fitness,-37.562484,143.859425,Aerobics,Group Fitness
Spartans Gym and Supplements,-37.542901,143.857062,Aerobics,Group Fitness
Tennis Ballarat,-37.589433,143.829566,Aerobics,Group Fitness
UniSports,-37.625352,143.890766,Aerobics,Group Fitness
Genesis Bundoora,-37.684267,145.071665,Aerobics,Group Fitness
Benalla Aquatic Centre,-36.551055,145.980703,Aerobics,Group Fitness
Ashburton Pool and Recreation Centre,-37.866851,145.085201,Aerobics,Group Fitness
Balwyn Leisure Centre,-37.801945,145.08444,Aerobics,Group Fitness
Body World Hawthorn East,-37.825123,145.057498,Aerobics,Group Fitness
Boroondara Sports Complex,-37.803522,145.087004,Aerobics,Group Fitness
Contours Hawthorn,-37.817632,145.035964,Aerobics,Group Fitness
Fernwood Women's Health Club Camberwell,-37.824678,145.048725,Aerobics,Group Fitness
Goodlife Health Club Camberwell,-37.828742,145.056411,Aerobics,Group Fitness
Goodlife Health Clubs Balwyn,-37.811453,145.067857,Aerobics,Group Fitness
Hawthorn Aquatic and Leisure Centre,-37.820839,145.033478,Aerobics,Group Fitness
Kew Recreation Centre,-37.803608,145.03848,Aerobics,Group Fitness
Vital Habits Personal Training,-37.848,145.076,Aerobics,Group Fitness
Your Gym Surrey Hills,-37.815214,145.099815,Aerobics,Group Fitness
Athletique Health Club Preston,-37.754375,145.020615,Aerobics,Group Fitness
Fernwood Women's Health Club Preston,-37.750068,145.029881,Aerobics,Group Fitness
Genesis Fitness Club Preston,-37.74697,145.0205,Aerobics,Group Fitness
Northcote Aquatic & Recreation Centre,-37.769021,145.012581,Aerobics,Group Fitness
Reservoir Leisure Centre,-37.716632,145.018316,Aerobics,Group Fitness
The Fitness Club,-37.695615,145.012,Aerobics,Group Fitness
Contours Express Sunbury,-37.57904,144.73463,Aerobics,Group Fitness
Contours Greenvale,-37.639,144.8815,Aerobics,Group Fitness
CrossFit Merciless,-37.710479,144.855296,Aerobics,Group Fitness
Curves Gladstone Park,-37.689,144.8845,Aerobics,Group Fitness
Fernwood Women's Health Club Tullamarine,-37.701936,144.883313,Aerobics,Group Fitness
Focus Health and Fitness,-37.7005,144.885,Aerobics,Group Fitness
Life Fitness Centre,-37.642,144.9465,Aerobics,Group Fitness
OnTarget Fitness,-37.566,144.724,Aerobics,Group Fitness
Powercore Fitness,-37.616648,144.948157,Aerobics,Group Fitness
Re-creation Health Club Sunbury,-37.582902,144.724,Aerobics,Group Fitness
Unique Female Fitness,-37.601,144.943,Aerobics,Group Fitness
Beach House Health & Fitness Boronia,-37.861,145.2815,Aerobics,Group Fitness
Boronia Busybodies Health & Fitness Centre,-37.861278,145.284043,Aerobics,Group Fitness
Curves Ferntree Gully,-37.879,145.265,Aerobics,Group Fitness
Fernwood Women's Health Club,-37.882865,145.272334,Aerobics,Group Fitness
Fitness First Health Clubs,-37.869,145.243,Aerobics,Group Fitness
Future Health & Fitness,-37.91,145.2445,Aerobics,Group Fitness
Genesis Wantirna,-37.868207,145.260975,Aerobics,Group Fitness
Goodlife Health Clubs,-37.854284,145.217179,Aerobics,Group Fitness
Jetts Fitness Boronia,-37.861223,145.285471,Aerobics,Group Fitness
Knox Leisureworks YMCA,-37.85695,145.278334,Aerobics,Group Fitness
Platinum Health & Fitness Centre,-37.920156,145.218242,Aerobics,Group Fitness
Winning Physique Gym,-37.881857,145.2965,Aerobics,Group Fitness
Wow Health & Fitness,-37.8705,145.2495,Aerobics,Group Fitness
Contours Croydon,-37.793582,145.277689,Aerobics,Group Fitness
Croydon Leisure & Aquatic Centre,-37.801099,145.280821,Aerobics,Group Fitness
Curves Croydon,-37.79526,145.281664,Aerobics,Group Fitness
Curves Ringwood,-37.816443,145.222028,Aerobics,Group Fitness
Genesis Fitness Club Ringwood,-37.815835,145.224604,Aerobics,Group Fitness
Jetts Fitness Ringwood,-37.817472,145.223661,Aerobics,Group Fitness
Personal Fitness Centre Bayswater,-37.835821,145.271935,Aerobics,Group Fitness
Tone and Trim Zone,-37.81315,145.247972,Aerobics,Group Fitness
Contours Wallan,-37.416,144.9775,Aerobics,Group Fitness
Curves Seymour,-37.019308,145.135505,Aerobics,Group Fitness
Kilmore Leisure Centre,-37.298362,144.95346,Aerobics,Group Fitness
Seymour Sports and Aquatic Centre,-37.028321,145.1484,Aerobics,Group Fitness
Totally Fit,-37.4105,144.979,Aerobics,Group Fitness
Anytime Fitness Moonee Ponds,-37.765377,144.923491,Aerobics,Group Fitness
Ascot Vale Leisure Centre,-37.779307,144.912165,Aerobics,Group Fitness
BTB Martials Arts & Fitness Centre,-37.732911,144.8675,Aerobics,Group Fitness
Contours Express Niddrie,-37.73692,144.89281,Aerobics,Group Fitness
Contours Keilor East,-37.74818,144.861839,Aerobics,Group Fitness
Contours Moonee Ponds,-37.767,144.9235,Aerobics,Group Fitness
Curves Keilor East,-37.733,144.8675,Aerobics,Group Fitness
East Keilor Leisure Centre,-37.738815,144.870789,Aerobics,Group Fitness
Fernwood Moonee Ponds,-37.7765,144.9285,Aerobics,Group Fitness
Fighting Lyons Taekwondo Health & Fitness Centre,-37.742996,144.906,Aerobics,Group Fitness
Fitness First Essendon,-37.7455,144.926,Aerobics,Group Fitness
Full Fitness Personal Training,-37.766,144.922,Aerobics,Group Fitness
Paramount Health & Fitness Centre,-37.775665,144.91557,Aerobics,Group Fitness
Re-Creation Health Club Essendon,-37.755754,144.902,Aerobics,Group Fitness
Spark Fitness,-37.77,144.904,Aerobics,Group Fitness
Windy Hill Fitness Centre,-37.752527,144.918666,Aerobics,Group Fitness
Bell St Fitness,-37.741134,144.966066,Aerobics,Group Fitness
Brunswick City Baths,-37.770641,144.959528,Aerobics,Group Fitness
Coburg Leisure Centre,-37.743209,144.967919,Aerobics,Group Fitness
Doherty's 24 Hour Gym Brunswick,-37.775066,144.964625,Aerobics,Group Fitness
Fawkner Leisure Centre,-37.703706,144.96866,Aerobics,Group Fitness
Fenix Fitness Clubs Coburg,-37.733358,144.959937,Aerobics,Group Fitness
Fitzys Gym,-37.764936,144.945367,Aerobics,Group Fitness
Pheasant Creek Fitness Centre ,-37.480111,145.2785,Aerobics,Group Fitness
All About You Health Lifestlye & Fitness,-36.381117,145.403295,Aerobics,Group Fitness
Aquamoves Lakeside Shepparton,-36.386626,145.39527,Aerobics,Group Fitness
Contours Shepparton,-36.380726,145.397949,Aerobics,Group Fitness
Curves Shepparton,-36.379884,145.398348,Aerobics,Group Fitness
Fernwood Shepparton,-36.382825,145.408948,Aerobics,Group Fitness
GV Functional Fitness,-36.393783,145.359989,Aerobics,Group Fitness
Looking Good Mooroopna,-36.394237,145.358226,Aerobics,Group Fitness
Mud's Gym,-36.415813,145.400183,Aerobics,Group Fitness
Northside Health & Fitness,-36.348538,145.401354,Aerobics,Group Fitness
Tatura Gym & Fitness Centre,-36.447275,145.233427,Aerobics,Group Fitness
Total Body Health Fitness & Wellbeing,-36.415198,145.39133,Aerobics,Group Fitness
Aqua Energy,-38.112,147.08,Aerobics,Group Fitness
Beryl's Slim 'N' Trim Body Toning,-37.701423,145.071079,Aerobics,Group Fitness
Curves Whittlesea,-37.517996,145.114005,Aerobics,Group Fitness
Epping Squash and Fitness Centre,-37.649827,145.023759,Aerobics,Group Fitness
Fernwood Women's Health Clubs Epping,-37.659362,145.019288,Aerobics,Group Fitness
Fitness First Epping,-37.652438,145.023665,Aerobics,Group Fitness
Five Star Fitness Centre 24/7 Gym,-37.687975,145.013334,Aerobics,Group Fitness
Mill Park Leisure Centre,-37.658039,145.055256,Aerobics,Group Fitness
Thomastown Recreation & Aquatic Centre,-37.677647,145.006076,Aerobics,Group Fitness
Whittlesea Fitness Centre,-37.51197,145.11723,Aerobics,Group Fitness
Aeromax Fitness Health Club,-37.875501,144.680496,Aerobics,Group Fitness
Contours Tarneit,-37.849675,144.70575,Aerobics,Group Fitness
Curves For Women,-37.894273,144.673475,Aerobics,Group Fitness
EFM Health Clubs Tarneit,-37.847983,144.702,Aerobics,Group Fitness
Fenix Fitness Club Hoppers Crossing,-37.869127,144.691056,Aerobics,Group Fitness
Fenix Fitness Club Point Cook,-37.884,144.735125,Aerobics,Group Fitness
In-Balance Fitness Werribee,-37.898392,144.661842,Aerobics,Group Fitness
Manor Lake Fitness,-37.876367,144.61474,Aerobics,Group Fitness
My Gym Hoppers Crossing,-37.871074,144.72919,Aerobics,Group Fitness
Platinum Health Club Hoppers Crossing,-37.872529,144.717075,Aerobics,Group Fitness
Re-Creation Health Club Point Cook,-37.871958,144.7465,Aerobics,Group Fitness
Wyndham Leisure & Events Centre,-37.882173,144.683355,Aerobics,Group Fitness
Prince of Wales Park,-37.549886,143.817174,Archery,Organized Sports
Hays Paddock,-37.789057,145.058406,Archery,Organized Sports
Donald Recreation Reserve,-36.363956,142.987001,Archery,Organized Sports
Deledeo Recreation Reserve,-36.853322,143.732102,Archery,Organized Sports
Baxter Park,-38.19338,145.142572,Archery,Organized Sports
Abe Wood Reserve,-38.056123,144.313125,Archery,Organized Sports
HEYWOOD SPORTS PARK,-38.131655,141.666282,Archery,Organized Sports
Highett Reserve,-37.951004,145.055651,Archery,Organized Sports
Toners Lane Reserve,-38.23046,146.388199,Archery,Organized Sports
Bulleen Park ,-37.773844,145.074054,Archery,Organized Sports
Pennell Reserve,-37.776336,144.85114,Archery,Organized Sports
Chewton Bowmen Inc,-37.086521,144.27745,Archery,Organized Sports
Diamond Valley Archers,-37.626726,145.132744,Archery,Organized Sports
Meeniyan Recreation reserve,-38.575706,146.010378,Archery,Organized Sports
South West Target Shooting Complex,-38.433372,142.587508,Archery,Organized Sports
RHL Sparks Reserve,-37.828053,145.13546,Archery,Organized Sports
Laurie Emmins Reserve,-37.852136,144.764933,Archery,Organized Sports
Sherbrooke Archers,-37.905279,145.307647,Archery,Organized Sports
Alexandra Hall,-37.281984,142.92884,Badminton,Team Sports
Ballarat Ken Kay Badminton Stadium,-37.527544,143.841549,Badminton,Team Sports
Macleod Recreation & Fitness Centre,-37.723317,145.068971,Badminton,Team Sports
Bass Coast Aquatic & Leisure Centre,-38.599783,145.599475,Badminton,Team Sports
Drouin Recreation Reserve,-38.13238,145.85887,Badminton,Team Sports
EC Leeson Pavillion,-38.168316,145.938697,Badminton,Team Sports
Logan Park,-38.168923,145.937311,Badminton,Team Sports
Thorpdale Badminton Club,-38.288407,146.178107,Badminton,Team Sports
United Friendlies Society Reserve ,-36.544552,145.979059,Badminton,Team Sports
Eaglehawk Badminton & Table Tennis Centre,-36.726001,144.248457,Badminton,Team Sports
Evolution Sports & Fitness Centre,-36.777569,144.301115,Badminton,Team Sports
Charlton Indoor Sports Stadium,-36.270101,143.359068,Badminton,Team Sports
Bamawm Indoor Sports Complex,-36.26296,144.588841,Badminton,Team Sports
Campaspe Valley Community Centre,-36.352651,144.699532,Badminton,Team Sports
Fonterra Sports & Entertainment Centre,-36.143764,144.753281,Badminton,Team Sports
Kyabram Sports & Entertainment Centre,-36.313875,145.06022,Badminton,Team Sports
Tongala Leisure Centre,-36.24631,144.946221,Badminton,Team Sports
Cardinia Life,-38.065909,145.459523,Badminton,Team Sports
Berwick Leisure Centre,-38.030319,145.365332,Badminton,Team Sports
Endeavour Hills Leisure Centre,-37.978588,145.259785,Badminton,Team Sports
Maryborough Sports and Leisure Centre,-37.05575,143.743896,Badminton,Team Sports
Talbot Indoor Recreation Centre,-37.169509,143.695397,Badminton,Team Sports
Camperdown Community Centre,-38.23208,143.144455,Badminton,Team Sports
Terang and District Sport and Recreation Centre,-38.242976,142.921208,Badminton,Team Sports
Timboon Indoor Sports Centre,-38.483908,142.972299,Badminton,Team Sports
Noble Park Community Centre,-37.961328,145.171495,Badminton,Team Sports
Springers Leisure Centre,-37.995822,145.153915,Badminton,Team Sports
Darebin Community Sports Stadium,-37.721381,145.030317,Badminton,Team Sports
Frankston South Recreation Centre,-38.161161,145.127307,Badminton,Team Sports
Cohuna Education Community Activity Centre,-35.811551,144.22459,Badminton,Team Sports
Kerang Basketball Centre,-35.851678,143.52531,Badminton,Team Sports
Deakin YMCA Geelong,-38.195209,144.30429,Badminton,Team Sports
Leisuretime Centre,-38.091239,144.33672,Badminton,Team Sports
Glen Eira Sports and Aquatic Centre,-37.916884,145.061671,Badminton,Team Sports
Heywood Community Complex,-38.138391,141.62712,Badminton,Team Sports
Bannockburn Community Sports Stadium,-38.047517,144.169761,Badminton,Team Sports
Bannockburn Recreation Centre,-38.040528,144.162849,Badminton,Team Sports
Haddon Recreation Centre,-37.588001,143.722593,Badminton,Team Sports
Daylesford ARC Recreation Centre,-37.3355,144.1515,Badminton,Team Sports
Dimboola Sports Stadium,-36.460127,142.025603,Badminton,Team Sports
Lowan Sports Centre,-36.332494,141.658779,Badminton,Team Sports
Altona Badminton Centre,-37.840715,144.858582,Badminton,Team Sports
Craigieburn Leisure Centre,-37.59906,144.934474,Badminton,Team Sports
Rowville Community Centre,-37.919609,145.239588,Badminton,Team Sports
Toongabbie Village Green (hall and oval),-38.059023,146.622754,Badminton,Team Sports
Traralgon South Recreation Reserve,-38.29567,146.539457,Badminton,Team Sports
Traralgon Sports Stadium,-38.200021,146.517852,Badminton,Team Sports
Boort Community Centre,-36.110239,143.728906,Badminton,Team Sports
Macedon Community Centre,-37.417427,144.573248,Badminton,Team Sports
Doncaster Badminton Centre,-37.78571,145.131872,Badminton,Team Sports
Manningham Donvale Indoor Sports Centre,-37.799435,145.177737,Badminton,Team Sports
Mansfield Sporting Complex,-37.054086,146.085921,Badminton,Team Sports
Footscray Nicholson Recreation Centre (Vic Uni),-37.804628,144.898151,Badminton,Team Sports
Footscray Park Aquatic and Fitness Centre (Vic Uni),-37.792875,144.898001,Badminton,Team Sports
Whitten Oval,-37.799971,144.886788,Badminton,Team Sports
Caroline Springs Leisure Centre,-37.732588,144.73988,Badminton,Team Sports
Irymple Community Leisure Centre,-34.233455,142.164334,Badminton,Team Sports
Pyalong Recreation Hall,-37.113981,144.857023,Badminton,Team Sports
RB Robson Stadium,-37.41536,144.980723,Badminton,Team Sports
Wandong Memorial Stadium,-37.358297,145.030944,Badminton,Team Sports
Cobram Sports Stadium,-35.922306,145.657066,Badminton,Team Sports
Nathalia Sports & Community Centre & Skate Park,-36.060613,145.206106,Badminton,Team Sports
Oakleigh Recreation Centre,-37.893318,145.097143,Badminton,Team Sports
Doutta Galla Ladies Badminton Club (Doutta Galla Youth Hall),-37.738961,144.902638,Badminton,Team Sports
Essendon Christ Church Badminton Club,-37.756772,144.913693,Badminton,Team Sports
Bacchus Marsh Leisure Centre,-37.684258,144.431985,Badminton,Team Sports
David Collins Leisure Centre,-38.237161,145.052227,Badminton,Team Sports
Sommerville Recreation & Community Centre,-38.225158,145.172387,Badminton,Team Sports
Wesley Hill Stadium,-37.071789,144.22984,Badminton,Team Sports
Diamond Valley Sports and Fitness Centre,-37.688252,145.108263,Badminton,Team Sports
Eltham Leisure Centre,-37.723284,145.141748,Badminton,Team Sports
Stawell Leisure Complex,-37.051903,142.778398,Badminton,Team Sports
Melbourne Sports & Aquatic Centre,-37.842948,144.960718,Badminton,Team Sports
Shepparton Sports Stadium,-36.355829,145.400466,Badminton,Team Sports
Tatura Sports Stadium,-36.4472,145.22856,Badminton,Team Sports
South Gippsland Splash,-38.468655,145.947975,Badminton,Team Sports
EUROA ECAS Centre,-36.758321,145.56436,Badminton,Team Sports
Strathbogie Memorial Hall,-36.755139,145.745225,Badminton,Team Sports
Anderson Roadknight Reserve,-38.456467,144.108365,Badminton,Team Sports
Lorne Leisure Centre,-38.539579,143.972245,Badminton,Team Sports
Surf Coast Sport & Recreation Centre,-38.326431,144.315762,Badminton,Team Sports
Robinvale Leisure Centre,-34.58181,142.777948,Badminton,Team Sports
Swan Hill Indoor Sport and Recreation Centre,-35.348308,143.559441,Badminton,Team Sports
Swan Hill Leisure centre,-35.337736,143.553679,Badminton,Team Sports
Wangaratta Indoor Sports & Aquatic Centre,-36.342895,146.315384,Badminton,Team Sports
Warrnambool Stadium,-38.355638,142.459277,Badminton,Team Sports
Gippsland Regional Sports Complex,-38.086739,147.07139,Badminton,Team Sports
Kaniva Sport Complex,-36.383359,141.245901,Badminton,Team Sports
Deakin YMCA,-37.84695,145.116446,Badminton,Team Sports
Nunawading Community Centre,-37.819679,145.172854,Badminton,Team Sports
Sportlink,-37.853585,145.183854,Badminton,Team Sports
Bundoora Netball and Sports Centre,-37.68007,145.061886,Badminton,Team Sports
Werribee Sports & Fitness Centre,-37.898601,144.640316,Badminton,Team Sports
Kilsyth Sports Centre,-37.813485,145.319259,Badminton,Team Sports
Warracknabeal Leisure Complex,-36.252513,142.392379,Badminton,Team Sports
Myrtleford Savoy Sports Club,-36.553518,146.715794,Bocce,Social Sports
Carrington Drive Block,-37.769726,144.807785,Bocce,Social Sports
Carrington Reserve,-37.770928,144.810941,Bocce,Social Sports
Churchill Reserve,-37.733267,144.814423,Bocce,Social Sports
Green Gully Reserve,-37.726822,144.819415,Bocce,Social Sports
Eumemmerring Park,-37.996774,145.242946,Bocce,Social Sports
Sydney Pargeter Reserve,-37.964774,145.249235,Bocce,Social Sports
Hume Reserve,-38.10619,144.340142,Bocce,Social Sports
Packer Park,-37.901413,145.059458,Bocce,Social Sports
Maltese Bocce Recreation and Social Club,-37.833623,144.837453,Bocce,Social Sports
Broadmeadows Leisure Centre,-37.681087,144.915043,Bocce,Social Sports
Hanging Rock Reserve,-37.335764,144.598687,Bocce,Social Sports
Carlson Reserve,-37.90462,145.124999,Bocce,Social Sports
Princess Hwy Reserve,-37.909012,145.116778,Bocce,Social Sports
Talbot Park,-37.92628,145.103583,Bocce,Social Sports
Truemans Road Reserve,-38.377898,144.861303,Bocce,Social Sports
Norris Bank Reserve,-37.694904,145.048996,Bocce,Social Sports
Thomas Street Reserve,-37.675237,145.007927,Bocce,Social Sports
V.R. Michael reserve,-37.660717,145.016698,Bocce,Social Sports
Edinburgh Gardens Bocce Courts ,-37.78753,144.982377,Bocce,Social Sports
Hardy Gallagher Reserve Bocce Courts ,-37.779197,144.967058,Bocce,Social Sports
Len Trewin Reserve,-38.175521,144.711039,Bocce,Social Sports
Dohertys Gym Benidgo,-36.763944,144.2815,Body Building,Group Fitness
Footscray Boat Club,-37.790896,144.901989,Canoeing,Adventure Activities
Torquay Outrigger Canoe Club,-38.32816,144.326649,Canoeing,Adventure Activities
Nestles Rowing Club,-38.356478,142.436539,Canoeing,Adventure Activities
Darebin International Sports Centre,-37.764668,145.023188,Carpet Bowls,Fitness Routines
Darebin International Sports Centre,-37.764668,145.023188,Carpet Bowls,Innovative Hobbies
Keon Park Youth Club & Community Hall,-37.701083,145.020205,Carpet Bowls,Fitness Routines
Keon Park Youth Club & Community Hall,-37.701083,145.020205,Carpet Bowls,Innovative Hobbies
Bairnsdale Squash and Table Tennis,-37.813354,147.649777,Carpet Bowls,Fitness Routines
Bairnsdale Squash and Table Tennis,-37.813354,147.649777,Carpet Bowls,Innovative Hobbies
Seabrook Community Centre Indoor Bowls,-37.885766,144.758946,Carpet Bowls,Fitness Routines
Seabrook Community Centre Indoor Bowls,-37.885766,144.758946,Carpet Bowls,Innovative Hobbies
Broadmeadows Basketball Stadium,-37.680726,144.914566,Carpet Bowls,Fitness Routines
Broadmeadows Basketball Stadium,-37.680726,144.914566,Carpet Bowls,Innovative Hobbies
Gaskin Park Stadium,-38.309041,146.40822,Carpet Bowls,Fitness Routines
Gaskin Park Stadium,-38.309041,146.40822,Carpet Bowls,Innovative Hobbies
James Boyle Hall,-36.117,143.727828,Carpet Bowls,Fitness Routines
James Boyle Hall,-36.117,143.727828,Carpet Bowls,Innovative Hobbies
Campbells Creek Community Centre,-37.092451,144.201716,Carpet Bowls,Fitness Routines
Campbells Creek Community Centre,-37.092451,144.201716,Carpet Bowls,Innovative Hobbies
Harcourt Leisure Centre,-37.004893,144.257003,Carpet Bowls,Fitness Routines
Harcourt Leisure Centre,-37.004893,144.257003,Carpet Bowls,Innovative Hobbies
St Mary's Hall,-37.06362,144.219811,Carpet Bowls,Fitness Routines
St Mary's Hall,-37.06362,144.219811,Carpet Bowls,Innovative Hobbies
Beaufort Golf Bowls Club,-37.437786,143.377437,Carpet Bowls,Fitness Routines
Beaufort Golf Bowls Club,-37.437786,143.377437,Carpet Bowls,Innovative Hobbies
Dennington Bowls Club,-38.355399,142.435253,Carpet Bowls,Fitness Routines
Dennington Bowls Club,-38.355399,142.435253,Carpet Bowls,Innovative Hobbies
Alexandra Croquet Club,-37.282005,142.93149,Croquet,Team Sports
Alexandra Croquet Club,-37.282005,142.93149,Croquet,Low-Stress Hobbies
Ballarat Western Croquet Club,-37.565487,143.839918,Croquet,Team Sports
Ballarat Western Croquet Club,-37.565487,143.839918,Croquet,Low-Stress Hobbies
Ivanhoe Park,-37.772888,145.051829,Croquet,Team Sports
Ivanhoe Park,-37.772888,145.051829,Croquet,Low-Stress Hobbies
Phillip Island Croquet Club,-38.459666,145.246372,Croquet,Team Sports
Phillip Island Croquet Club,-38.459666,145.246372,Croquet,Low-Stress Hobbies
Wonthaggi Recreation Reserve,-38.600924,145.597243,Croquet,Team Sports
Wonthaggi Recreation Reserve,-38.600924,145.597243,Croquet,Low-Stress Hobbies
Drouin Croquet Club,-38.136907,145.85612,Croquet,Team Sports
Drouin Croquet Club,-38.136907,145.85612,Croquet,Low-Stress Hobbies
Warragul Bowling Club & Croquet Club,-38.164905,145.929591,Croquet,Team Sports
Warragul Bowling Club & Croquet Club,-38.164905,145.929591,Croquet,Low-Stress Hobbies
Brighton Croquet Club,-37.91351,144.998341,Croquet,Team Sports
Brighton Croquet Club,-37.91351,144.998341,Croquet,Low-Stress Hobbies
Sandringham Tennis/Croquet Club,-37.947532,145.000587,Croquet,Team Sports
Sandringham Tennis/Croquet Club,-37.947532,145.000587,Croquet,Low-Stress Hobbies
Warleigh Croquet Club,-37.904824,145.004256,Croquet,Team Sports
Warleigh Croquet Club,-37.904824,145.004256,Croquet,Low-Stress Hobbies
Eaglehawk Croquet Club,-36.715952,144.254424,Croquet,Team Sports
Eaglehawk Croquet Club,-36.715952,144.254424,Croquet,Low-Stress Hobbies
Golden Square Bowling and Croquet Club,-36.770448,144.260103,Croquet,Team Sports
Golden Square Bowling and Croquet Club,-36.770448,144.260103,Croquet,Low-Stress Hobbies
Glenferrie Hill Bowls Club,-37.8325,145.035,Croquet,Team Sports
Glenferrie Hill Bowls Club,-37.8325,145.035,Croquet,Low-Stress Hobbies
Charlton Croquet Club,-36.26558,143.350076,Croquet,Team Sports
Charlton Croquet Club,-36.26558,143.350076,Croquet,Low-Stress Hobbies
Wycheproof Bowls Club,-36.072941,143.227586,Croquet,Team Sports
Wycheproof Bowls Club,-36.072941,143.227586,Croquet,Low-Stress Hobbies
Kyabram Bowls Club,-36.309376,145.046208,Croquet,Team Sports
Kyabram Bowls Club,-36.309376,145.046208,Croquet,Low-Stress Hobbies
Maryborough VRI Croquet Club,-37.045007,143.740389,Croquet,Team Sports
Maryborough VRI Croquet Club,-37.045007,143.740389,Croquet,Low-Stress Hobbies
Colac Tennis Club,-38.338517,143.601751,Croquet,Team Sports
Colac Tennis Club,-38.338517,143.601751,Croquet,Low-Stress Hobbies
Terang Cricket Oval,-38.242479,142.914266,Croquet,Team Sports
Terang Cricket Oval,-38.242479,142.914266,Croquet,Low-Stress Hobbies
Dandenong Croquet & Bowls Club,-37.991802,145.216291,Croquet,Team Sports
Dandenong Croquet & Bowls Club,-37.991802,145.216291,Croquet,Low-Stress Hobbies
Rotary Park Bairnsdale,-37.823284,147.618016,Croquet,Team Sports
Rotary Park Bairnsdale,-37.823284,147.618016,Croquet,Low-Stress Hobbies
Frankston Croquet Club,-38.150344,145.123678,Croquet,Team Sports
Frankston Croquet Club,-38.150344,145.123678,Croquet,Low-Stress Hobbies
Alexandra Park,-35.731466,143.924953,Croquet,Team Sports
Alexandra Park,-35.731466,143.924953,Croquet,Low-Stress Hobbies
Drysdale bowls Clubs,-38.171208,144.571328,Croquet,Team Sports
Drysdale bowls Clubs,-38.171208,144.571328,Croquet,Low-Stress Hobbies
Francis Street Reserve,-38.18728,144.34748,Croquet,Team Sports
Francis Street Reserve,-38.18728,144.34748,Croquet,Low-Stress Hobbies
Caulfield Park,-37.871891,145.029756,Croquet,Team Sports
Caulfield Park,-37.871891,145.029756,Croquet,Low-Stress Hobbies
Elsternwick Croquet Club,-37.887625,145.010715,Croquet,Team Sports
Elsternwick Croquet Club,-37.887625,145.010715,Croquet,Low-Stress Hobbies
Casterton Croquet Club,-37.585523,141.401286,Croquet,Team Sports
Casterton Croquet Club,-37.585523,141.401286,Croquet,Low-Stress Hobbies
Henty Park,-38.353928,141.608732,Croquet,Team Sports
Henty Park,-38.353928,141.608732,Croquet,Low-Stress Hobbies
Williamstown Croquet Club,-37.859695,144.88969,Croquet,Team Sports
Williamstown Croquet Club,-37.859695,144.88969,Croquet,Low-Stress Hobbies
Horsham City Bowls Club,-36.713512,142.194578,Croquet,Team Sports
Horsham City Bowls Club,-36.713512,142.194578,Croquet,Low-Stress Hobbies
Horsham Lawn Tennis Club,-36.722577,142.197451,Croquet,Team Sports
Horsham Lawn Tennis Club,-36.722577,142.197451,Croquet,Low-Stress Hobbies
Beechworth Bowls/Croquet Club,-36.361589,146.688158,Croquet,Team Sports
Beechworth Bowls/Croquet Club,-36.361589,146.688158,Croquet,Low-Stress Hobbies
Hubert Osborne Reserve,-38.194622,146.532134,Croquet,Team Sports
Hubert Osborne Reserve,-38.194622,146.532134,Croquet,Low-Stress Hobbies
Morwell Recreation Reserve,-38.241341,146.390751,Croquet,Team Sports
Morwell Recreation Reserve,-38.241341,146.390751,Croquet,Low-Stress Hobbies
Boort Croquet Club,-36.118733,143.725597,Croquet,Team Sports
Boort Croquet Club,-36.118733,143.725597,Croquet,Low-Stress Hobbies
Dixon Field,-37.48373,144.582635,Croquet,Team Sports
Dixon Field,-37.48373,144.582635,Croquet,Low-Stress Hobbies
Kyneton Croquet Club,-37.25065,144.449873,Croquet,Team Sports
Kyneton Croquet Club,-37.25065,144.449873,Croquet,Low-Stress Hobbies
Jubilee Park,-37.824098,145.23187,Croquet,Team Sports
Jubilee Park,-37.824098,145.23187,Croquet,Low-Stress Hobbies
Ringwood Croquet Club,-37.821267,145.233312,Croquet,Team Sports
Ringwood Croquet Club,-37.821267,145.233312,Croquet,Low-Stress Hobbies
Kenny Park Recreation Reserve,-34.164337,142.053071,Croquet,Team Sports
Kenny Park Recreation Reserve,-34.164337,142.053071,Croquet,Low-Stress Hobbies
Mansell Reserve,-34.176798,142.154262,Croquet,Team Sports
Mansell Reserve,-34.176798,142.154262,Croquet,Low-Stress Hobbies
Quandong Park,-34.299474,142.18985,Croquet,Team Sports
Quandong Park,-34.299474,142.18985,Croquet,Low-Stress Hobbies
Cobram Lawn Tennis Club,-35.920781,145.65265,Croquet,Team Sports
Cobram Lawn Tennis Club,-35.920781,145.65265,Croquet,Low-Stress Hobbies
