category,type,lon,lat,name,suburb
Dancing,Dancing,145.13348502,-37.84582704,Deer Park Hall,BURWOOD
Dancing,Dancing,145.16913999,-37.86200504,Glengala Community Centre,BURWOOD EAST
Dancing,Dancing,142.51210197,-38.30885496,Old Shire Hall,BUSHFIELD
Dancing,Dancing,147.02664698,-37.83064299,St Albans Community Youth Club,BUSHY PARK
Dancing,Dancing,148.29285006,-37.26421217,Urban Force Studio,BUTCHERS RIDGE
Dancing,Dancing,145.681939,-37.38066998,Westvale Community Centre,BUXTON
Dancing,Dancing,142.09576198,-37.93379943,Navel Gazers Belly Dance,BYADUK
Dancing,Dancing,142.06010797,-37.83596998,Smythesdale (Woady Yaloak) Recreation Reserve,BYADUK NORTH
